,daterep,day,month,year,cases,deaths,countries_and_territories,geoid
262,21/01/2020,21,1,2020,0,0,Armenia,AM
263,20/01/2020,20,1,2020,0,0,Armenia,AM
264,19/01/2020,19,1,2020,0,0,Armenia,AM
265,18/01/2020,18,1,2020,0,0,Armenia,AM
266,17/01/2020,17,1,2020,0,0,Armenia,AM
267,16/01/2020,16,1,2020,0,0,Armenia,AM
268,15/01/2020,15,1,2020,0,0,Armenia,AM
269,14/01/2020,14,1,2020,0,0,Armenia,AM
270,13/01/2020,13,1,2020,0,0,Armenia,AM
271,12/01/2020,12,1,2020,0,0,Armenia,AM
272,11/01/2020,11,1,2020,0,0,Armenia,AM
273,10/01/2020,10,1,2020,0,0,Armenia,AM
274,09/01/2020,9,1,2020,0,0,Armenia,AM
275,08/01/2020,8,1,2020,0,0,Armenia,AM
276,07/01/2020,7,1,2020,0,0,Armenia,AM
277,06/01/2020,6,1,2020,0,0,Armenia,AM
278,05/01/2020,5,1,2020,0,0,Armenia,AM
279,04/01/2020,4,1,2020,0,0,Armenia,AM
280,03/01/2020,3,1,2020,0,0,Armenia,AM
281,02/01/2020,2,1,2020,0,0,Armenia,AM
282,01/01/2020,1,1,2020,0,0,Armenia,AM
283,31/12/2019,31,12,2019,0,0,Armenia,AM
284,24/03/2020,24,3,2020,114,0,Australia,AU
285,23/03/2020,23,3,2020,611,0,Australia,AU
286,22/03/2020,22,3,2020,224,0,Australia,AU
287,21/03/2020,21,3,2020,165,1,Australia,AU
288,20/03/2020,20,3,2020,144,0,Australia,AU
289,19/03/2020,19,3,2020,111,1,Australia,AU
290,18/03/2020,18,3,2020,79,0,Australia,AU
291,17/03/2020,17,3,2020,77,0,Australia,AU
292,16/03/2020,16,3,2020,49,2,Australia,AU
293,15/03/2020,15,3,2020,52,0,Australia,AU
294,14/03/2020,14,3,2020,41,0,Australia,AU
295,13/03/2020,13,3,2020,30,0,Australia,AU
296,12/03/2020,12,3,2020,14,0,Australia,AU
297,11/03/2020,11,3,2020,12,0,Australia,AU
298,10/03/2020,10,3,2020,20,0,Australia,AU
299,09/03/2020,9,3,2020,6,0,Australia,AU
300,08/03/2020,8,3,2020,11,1,Australia,AU
301,07/03/2020,7,3,2020,4,0,Australia,AU
302,06/03/2020,6,3,2020,7,0,Australia,AU
303,05/03/2020,5,3,2020,11,1,Australia,AU
304,04/03/2020,4,3,2020,8,0,Australia,AU
305,03/03/2020,3,3,2020,4,0,Australia,AU
306,02/03/2020,2,3,2020,3,0,Australia,AU
307,01/03/2020,1,3,2020,1,1,Australia,AU
308,29/02/2020,29,2,2020,2,0,Australia,AU
309,28/02/2020,28,2,2020,0,0,Australia,AU
